"CarPark","Address","Location_Lat","Location_Lng","WeekDays_Rate_1","WeekDays_Rate_2","Saturday_Rate","Sunday_PublicHoliday_Rate","Lot_Avail_ID"
"Furama City Centre Singapore","60 Eu Tong Sen Street, Singapore 059804",1.2863993,103.8447538,"5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr","Aft 5pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Furama City Centre Singapore","60 Eu Tong Sen Street, Singapore 059804",1.2863993,103.8447538,"5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr","Aft 5pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Furama Riverfront Singapore","405 Havelock Rd, Singapore 169633",1.2880788,103.8359472,"7am-5pm: $1 per ½ hr","Aft 5pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Furama Riverfront Singapore","405 Havelock Rd, Singapore 169633",1.2880788,103.8359472,"7am-5pm: $1 per ½ hr","Aft 5pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Gallery Hotel","76 Robertson Quay, Singapore",1.2902512,103.8386992,"""12pm-2pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr, $0.50 for sub. ½ hr from 2.01pm to 6.00pm for Mon-Thu""","6pm-11.59pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr; $0.50 for sub. ½ hr  from 12am-11.59am for Mon-Thu","""6am-11.59pm: $3 for 1st hr; $0.50 for sub. ½ hr, $3 for 1st hr; $0.50 for sub. ½ hr from 12am-1.59am for Fri-Sun/PH ""","$2 for 1st hr; $0.50 for sub. ½ hr from 2.01am-6am for Fri-Sun/PH","-"
"Gallery Hotel","76 Robertson Quay, Singapore",1.2902512,103.8386992,"""12pm-2pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr, $0.50 for sub. ½ hr from 2.01pm to 6.00pm for Mon-Thu""","6pm-11.59pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr; $0.50 for sub. ½ hr  from 12am-11.59am for Mon-Thu","""6am-11.59pm: $3 for 1st hr; $0.50 for sub. ½ hr, $3 for 1st hr; $0.50 for sub. ½ hr from 12am-1.59am for Fri-Sun/PH ""","$2 for 1st hr; $0.50 for sub. ½ hr from 2.01am-6am for Fri-Sun/PH","-"
"Goodwood Park Hotel","22 Scotts Rd, Singapore 228221",1.3084529,103.8345499,"8am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"Goodwood Park Hotel","22 Scotts Rd, Singapore 228221",1.3084529,103.8345499,"8am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"Grand Copthorne Waterfront Hotel","392 Havelock Rd, Singapore 169663",1.2902491,103.8351346,"7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr","Aft 5pm: $4.28 per entry","Same as wkdays","$4.28 per entry","-"
"Grand Copthorne Waterfront Hotel","392 Havelock Rd, Singapore 169663",1.2902491,103.8351346,"7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr","Aft 5pm: $4.28 per entry","Same as wkdays","$4.28 per entry","-"
"Grand Hyatt Hotel","10 Scotts Road, Singapore 228211",1.3064961,103.8330143,"4am-4.59pm: $3.21 for 1st hr; $1.07 for sub. ½ hr","Aft 5pm: $5.35 per entry","Same as wkdays","4am-3.59am: $5.35 per entry","-"
"Grand Mercure Roxy Hotel","50 East Coast Road, Roxy Square, Singapore 428769",1.303397,103.9046199,"Daily: $1.60 per hr","-","-","-","-"
"Grand Pacific Hotel (Formerly Allson Hotel)","101 Victoria St, Singapore 188018",1.2974019,103.8525602,"7am-5pm: $1.32 per ½ hr","Aft 5pm: $3.57 per entry","Same as wkdays","$3.57 per entry","-"
"Grand Pacific Hotel (Formerly Allson Hotel)","101 Victoria St, Singapore 188018",1.2974019,103.8525602,"7am-5pm: $1.32 per ½ hr","Aft 5pm: $3.57 per entry","Same as wkdays","$3.57 per entry","-"
"Grand Park City Hall Hotel","10 Coleman St, Singapore 179809",1.2925284,103.8500923,"7am-5pm: $3.28 for 1st hr; $1.55 for sub. ½ hr","Aft 5pm: $5.35 per entry","Same as wkdays","Same as wkdays","-"
"Grand Park Orchard","270 Orchard Rd, Singapore 238857",1.3030672,103.8360734,"8am-5pm: $3.50 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $5 per entry","Same as wkdays","Same as wkdays","-"
"Grand Park Orchard","270 Orchard Rd, Singapore 238857",1.3030672,103.8360734,"8am-5pm: $3.50 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $5 per entry","Same as wkdays","Same as wkdays","-"
"Hilton Hotel","581 Orchard Rd, Singapore 238883",1.305891,103.82942,"8am-6pm: $7 for 1st hr","Aft 6pm: $7 per entry","Same as wkdays","$7 per entry","-"
"Hilton Hotel","581 Orchard Rd, Singapore 238883",1.305891,103.82942,"$7 per hr.","Aft 6pm: $7 per entry","Same as wkdays","Same as wkdays","-"
"Holiday Inn Atrium","317 Outram Rd, Singapore 169075",1.288878,103.834491,"7am-5pm: $1.80 per hr","Aft 5pm: $3.60 per entry","Same as wkdays","$3.60 per entry","-"
"Holiday Inn Express Singapore","20 Bideford Road, Singapore 229921",1.303304,103.8366149,"$3 per ½ hr.","$3 per ½ hr.","Same as wkdays","Same as wkdays","-"
"Holiday Inn Express Singapore","20 Bideford Road, Singapore 229921",1.303304,103.8366149,"$3 per ½ hr.","$3 per ½ hr.","Same as wkdays","Same as wkdays","-"
"Holiday Inn Singapore Orchard City Centre","11 Cavenagh Rd, Singapore 229616",1.3022488,103.8410623,"$3 for 1st hr; $1.50 for sub. ½ hr","$3 for 1st hr; $1.50 for sub. ½ hr","Same as wkdays","Same as wkdays","-"
"Holiday Inn Singapore Orchard City Centre","11 Cavenagh Rd, Singapore 229616",1.3022488,103.8410623,"$3 for 1st hr; $1.50 for sub. ½ hr","$3 for 1st hr; $1.50 for sub. ½ hr","Same as wkdays","Same as wkdays","-"
"Inter-continental Hotel","80 Middle Rd, Singapore 188966",1.2983091,103.855048,"8am-5pm: $1.07 for 1st hr; $0.37 for sub. 10mins (Car park at Parco Bugis Junction)","Mon-Thu: Aft 5pm: $2.50 per entry. Fri: $2.50 for 1st 2hrs; $0.25 for sub. 10 mins","$2.50 for 1st 2hrs; $0.25 for sub. 10 mins","Same as Saturday","-"
"""klapsons, The Boutique Hotel""","15 Hoe Chiang Rd, Singapore 089316",1.2739174,103.8423017,"6.30am to 6.30pm - first 3 hours at $3.00 and subsequent half an hour at $1.50","6.30pm to 6.30am - $ 4.00 flat","After 2pm - $4.00 flat","$4.00 flat","-"
"""klapsons, The Boutique Hotel""","15 Hoe Chiang Rd, Singapore 089316",1.2739174,103.8423017,"6.30am to 6.30pm - first 3 hours at $3.00 and subsequent half an hour at $1.50","6.30pm to 6.30am - $ 4.00 flat","After 2pm - $4.00 flat","$4.00 flat","-"
"Landmark Village Hotel (Formally Golden Landmark Hotel)","390 Victoria St, Singapore 188061",1.302209,103.8578904,"8am-5pm: $1.90 for 1st hr; $1.07 for sub. ½ hr","Aft 5pm: $2.14 per entry","Same as wkdays","$2.14 per entry","-"
"M Hotel","81 Anson Road, Singapore 079908",1.273767,103.8450399,"7am-6pm: $1.50 per ½ hr","Aft 6pm: $3 per entry","""Charges same as wkdays, but $3 per entry after 1pm""","$3 per entry","-"
"M Hotel","81 Anson Road, Singapore 079908",1.273767,103.8450399,"7am-6pm: $1.50 per ½ hr","Aft 6pm: $3 per entry","""Charges same as wkdays, but $3 per entry after 1pm""","$3 per entry","-"
"Mandarin Orchard Singapore","333 Orchard Road, Singapore 238867",1.3020052,103.8359339,"7am-6pm: $3.50 for 1st hr; $1.20 for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Mandarin Oriental Hotel","5 Raffles Avenue, Singapore 039797",1.2905698,103.8585663,"Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square)","Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr","Fri/Sat-Sun/PH: 7am-2am :$2.40 for 1st 2 hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr","Same as Saturday","-"
"Mandarin Oriental Hotel","5 Raffles Avenue, Singapore 039797",1.2905698,103.8585663,"Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square)","Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr","Fri/Sat-Sun/PH: 7am-2am :$2.40 for 1st 2 hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr","Same as Saturday","-"
"Marina Bay Sands","10 Bayfront Avenue, Singapore 018956",1.2837856,103.8603761,"7am-7pm: $6 for 1st hr; $1 for sub. hr; (Capped at $26 every 24hrs)","Aft 7pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Marina Bay Sands","10 Bayfront Avenue, Singapore 018956",1.2837856,103.8603761,"7am-7pm: $7 for 1st hr; $1 for sub.½ hr; (Capped at $26 every 24hrs)","Aft 7pm: $7 per entry","""Sat, Sun & Eve of PH: 7am-7pm: $8 for 1st hr; $1 for sub. ½ hr; Aft 7pm: $8 per entry""","Same as Saturday","-"
"Marina Mandarin Hotel","6 Raffles Boulevard, Marina Square, Singapore 039594",1.2918201,103.8571082,"Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square)","Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr for sub. ½ hr","Fri-Sun/PH: 7am-2am :$2.40 for 1st 2hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr for sub. ½ hr","Same as Saturday","-"
"Marina Mandarin Hotel","6 Raffles Boulevard, Marina Square, Singapore 039594",1.2918201,103.8571082,"Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square)","Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr","Fri/Sat-Sun/PH: 7am-2am :$2.40 for 1st 2 hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr","Same as Saturday","-"
"Novotel Clarke Quay","177A River Valley Road, Singapore 179031",1.2915233,103.8449891,"7am-5pm: $1.07 per hr","Aft 5pm: $3.21 per entry","7am-1pm: $1.07 per hr; Aft 1pm: $3.21 per entry","$3.21 per entry","-"
"Novotel Clarke Quay","177A River Valley Road, Singapore 179031",1.2915233,103.8449891,"7am-5pm: $1.07 per hr","Aft 5pm: $3.21 per entry","7am-1pm: $1.07 per hr; Aft 1pm: $3.21 per entry","$3.21 per entry","-"
"One Fullerton","1 Fullerton Rd, Singapore 049213",1.28573,103.8539282,"7am-6pm: $2.50 per ½ hr","After 6pm: $5 per entry","$5 per entry","$5 per entry","-"
"One Fullerton","1 Fullerton Rd, Singapore 049213",1.28573,103.8539282,"7am-6pm: $2.50 per ½ hr","Aft 6pm: $5 per entry","$5 per entry","$5 per entry","-"
"Orchard Grand Court Hotel","131 Killiney Rd, Singapore 239571",1.297592,103.838707,"7am-5pm: $2.50 per hr","Aft 5pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Orchard Hotel Shopping Arcade","442 Orchard Rd, Singapore 238879",1.3077222,103.8284371,"7am-6pm: $5 for 1st hr; $1.50 for sub. ½ hr","Aft 6pm: $5.50 per entry","Same as wkdays","$5 per entry","-"
"Orchard Hotel Shopping Arcade","442 Orchard Rd, Singapore 238879",1.3077222,103.8284371,"7am-6pm: $5 for 1st hr; $1.50 for sub. ½ hr","Aft 6pm: $5.50 per entry","Same as wkdays","$5 per entry","-"
"Orchard Parade Hotel","1 Tanglin Rd, Singapore 247905",1.306701,103.827795,"7am-5pm: $4 for 1st hr; $1.50 for sub. ½ hr","Aft 6pm: $4 per entry","Same as wkdays","$4 per entry","-"
"Orchard Parade Hotel","1 Tanglin Rd, Singapore 247905",1.306701,103.827795,"$4 for 1st hr; $1.50 for sub. ½ hr","$4 for 1st hr; $1.50 for sub. ½ hr","Same as wkdays","Same as wkdays","-"
"Pan Pacific Orchard","10 Claymore Rd, Singapore 229540",1.3074414,103.829745,"7am-5pm: $4 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $4 per entry","Same as wkdays","$4 per entry","-"
"Pan Pacific Orchard","10 Claymore Rd, Singapore 229540",1.3074414,103.829745,"7am-5pm: $5 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $5 per entry","Same as wkdays","$5 per entry","-"
"Paramount Hotel","25 Marine Parade, Singapore 449536",1.303713,103.9029349,"8am-5pm: $0.60 per ½ hr","Aft 5pm: $2.50 per entry","Same as wkdays","$2.50 per entry","-"
"Paramount Hotel","25 Marine Parade, Singapore 449536",1.303713,103.9029349,"8am-5pm: $0.60 per ½ hr","Aft 5pm: $2.50 per entry","Same as wkdays","$2.50 per entry","-"
"PARKROYAL on Beach Road","7500A Beach Rd, The Plaza #01-345/346, Singapore 199591",1.299718,103.860563,"7am-5pm: Multi Storey Carpark - $2.50 for 1st hr; $1.50 for sub. ½ hr. Hotel Driveway - $6 for 1st hr; $2 for sub. ½ hr.","Aft 5pm: Multi Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.","Charges same as wkdays but $2.50 per entry (Multi-Storey Carpark) & $6 per entry (Hotel Driveway) after 1pm. ","Multi-Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.","-"
"PARKROYAL on Beach Road","7500A Beach Rd, The Plaza #01-345/346, Singapore 199591",1.299718,103.860563,"7am-5pm: Multi Storey Carpark - $2.50 for 1st hr; $1.50 for sub. ½ hr. Hotel Driveway - $6 for 1st hr; $2 for sub. ½ hr.","Aft 5pm: Multi Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.","Charges same as wkdays but $2.50 per entry (Multi-Storey Carpark) & $6 per entry (Hotel Driveway) after 1pm. ","Multi-Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.","-"
"Peninsula Excelsior Hotel","5 Coleman Street, Singapore 179805",1.2919369,103.8497929,"8am-5pm: $2.60 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $4 per entry","Same as wkdays","8am-5pm: $1.50 per hr; Aft 5pm: $4 per entry","-"
"Peninsula Excelsior Hotel","5 Coleman Street, Singapore 179805",1.2919369,103.8497929,"8am-5pm: $2.60 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $4 per entry","Same as wkdays","8am-5pm: $1.50 per hr; Aft 5pm: $4 per entry","-"
"Raffles Hotel","1 Beach Rd, Singapore 189673",1.2948829,103.8544791,"12am-6pm: $3 for 1st ½ hr; $1.50 for sub. ½ hr","6pm-12am: $6 per entry","Same as wkdays","$6 per entry","-"
"Raffles Hotel","1 Beach Rd, Singapore 189673",1.2948829,103.8544791,"12am-6pm: $3 for 1st ½ hr; $1.50 for sub. ½ hr","6pm-12am: $6 per entry","Same as wkdays","$6 per entry","-"
"Ramada Hotel","16 Ah Hood Rd, Singapore 329982",1.3270787,103.8465135,"6am-6pm: $1.60 per hr","Aft 6pm: $2.20 per entry","Same as wkdays","Same as wkdays","-"
"Ramada Hotel","16 Ah Hood Rd, Singapore 329982",1.3270787,103.8465135,"6am-6pm: $1.60 per hr","Aft 6pm: $2.20 per entry","Same as wkdays","Same as wkdays","-"
"Regent Hotel","1 Cuscaden Rd, Singapore 249715",1.3046611,103.824931,"7am-6pm: $5 for 1st hr; $2.50 for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Regent Hotel","1 Cuscaden Rd, Singapore 249715",1.3046611,103.824931,"7am-6pm: $5 for 1st hr; $2.50 for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Rendezvous Hotel","9 Bras Basah Rd, Singapore 189559",1.29871,103.849183,"Daily: $3.20 for 1st 2hrs; $1.60 for sub. hr","-","-","-","-"
"Royal Plaza On Scotts","25 Scotts Rd, Singapore 228220",1.307143,103.832508,"8am-6pm: $4 for 1st hr; $1.50 for sub. ½ hr","Aft 6pm: $5.50 per entry","Same as wkdays","$5.50 per entry","-"
"Royal Plaza On Scotts","25 Scotts Rd, Singapore 228220",1.307143,103.832508,"8am-6pm: $4 for 1st hr; $1.50 for sub. ½ hr","Aft 6pm: $5.50 per entry","Same as wkdays","$5.50 per entry","-"
"Shangri-la Hotel","22 Orange Grove Rd, Singapore 258350",1.3108046,103.8267982,"7am-5pm: $6 for 1st hr; $2 for sub. ½ hr","Aft 5pm: $8 per entry","Same as wkdays","Same as wkdays","-"
"Shangri-la Hotel","22 Orange Grove Rd, Singapore 258350",1.3108046,103.8267982,"7am-5pm: $6 for 1st hr; $2 for sub. ½ hr","Aft 5pm: $8 per entry","Same as wkdays","Same as wkdays","-"
"Sheraton Towers Hotel","39 Scotts Rd, Singapore 228230",1.3118244,103.8364761,"7am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","$6 per entry","-"
"Singapore Marriott Hotel","320 Orchard Rd, Singapore 238865",1.305104,103.832837,"6am-6pm: $0.05 per min/$3 per hr","Aft 6pm: $0.05 per min/$3 per hr","Same as wkdays","Same as wkdays","-"
"Singapore Marriott Hotel","320 Orchard Rd, Singapore 238865",1.305104,103.832837,"6am-6pm: $0.05 per min/$3 per hr","Aft 6pm: $0.05 per min","Same as wkdays","Same as wkdays","-"
"Swissotel Merchant Court Hotel","20 Merchant Rd, Singapore 058281",1.2885734,103.8454147,"Daily: $4.50 for 1st hr; $1.50 for sub. ½ hr","-","-","-","-"
"Swissotel Merchant Court Hotel","20 Merchant Rd, Singapore 058281",1.2885734,103.8454147,"Daily: $4.50 for 1st hr; $3 for sub. hr","-","-","-","-"
"Swissotel Stamford Hotel","2 Stamford Rd, Singapore 178882",1.2933536,103.8535598,"8am-5pm: $2 for 1st hr; $0.50 for sub. 15mins (Car park at Raffles City Shopping Centre)","Aft 5pm: $2.50 per entry","$2 for 1st 2hrs; $0.30 for sub. 15mins","Same as Saturday","-"
"""The Ritz Carlton, Millenia Singapore""","7 Raffles Ave, Singapore 039799",1.2905269,103.8600616,"7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr","Aft 6pm: $2.20 per entry","$2.20 for 1st 2hrs; $1.10 for sub. hr","Same as Saturday","-"
"Traders Hotel","1A Cuscaden Rd, Singapore 249716",1.3042551,103.8239686,"6am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr","Aft 5pm: $3.50 per entry","""Charges same as wkdays, but $3.50 per entry after 1pm""","$3.50 per entry","-"
"Traders Hotel","1A Cuscaden Rd, Singapore 249716",1.3042551,103.8239686,"6am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr","Aft 5pm: $3.50 per entry","""Charges same as wkdays, but $3.50 per entry after 1pm""","$3.50 per entry","-"
"York Hotel","21 Mount Elizabeth, Singapore 228516",1.3073054,103.835584,"8.01am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"York Hotel","21 Mount Elizabeth, Singapore 228516",1.3073054,103.835584,"8.01am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"313@Somerset","313 Orchard Road, Singapore 238895",1.3009959,103.8384159,"$2 for 1st hr; $1 for sub. ½ hr","Aft 6pm: $4.50 for 1st 3hrs; $1.50 for sub. ½ hr","Same as weekdays","$4.50 for 1st 3hrs; $1.50 for sub ½ hr","-"
"Angullia Park Off-Street","Angullia Park, Singapore",1.3040133,103.8297344,"$1.00 /30 mins (Per Minute Charging)","$0.50 /30 mins (Per Minute Charging)","0700-1700 : $1.00 per 30 mins; 1700-0700: $0.50 per 30 mins (Per Minute Charging)","$0.50 /30 mins (Per Minute Charging)","-"
"Atrium @ Orchard","60A Orchard Rd, Singapore 238890",1.29976,103.8455131,"Mon-Thurs: 12am-5.59pm: $1.07 for 1st hr; $0.32 for sub. 15mins; Fri & Eve of PH: $1.07 for 1st hr; $0.32 for sub. 15mins","Mon-Thurs: 6pm-11.59pm: $2.14 per entry; Fri & Eve of PH: 6pm-2.59am (the next day): $2.14 per entry","3am-5.59pm: $2.14 for 1st 2 hrs; $0.32 for sub. 15mins; Aft 6pm: $2.14 per entry","3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins.  6pm-11.59pm: $2.14 per entry","-"
"Cathay Cineleisure Orchard","8 Grange Road, Singapore 239695",1.3016415,103.8362236,"From 7am: $2.40 for 1st hr; $1.40 for sub. ½ hr","Aft 6pm: $4.50 for 1st 3hrs; $1.60 for sub.½ hr","From 7am: $4.50 for 1st 3hrs; $1.60 for sub. ½ hr","Same as Saturday","-"
"ComCentre (Exeter Rd)","Exeter Rd, Comcentre, Singapore 239733",1.2988469,103.838201,"7am-6pm: $3 for 1st hr; $1.50 for sub. ½ hr","6pm-6.59am: $3.50 per entry","7am-12.59pm: $3 for 1st hr; $1.50 for sub. ½ hr.  1pm-10pm: $3 for 1st 2hr; $1.20 for sub. ½ hr.","7am-10pm: $3 for 1st 2 hr; $1.20 for sub. ½ hr","-"
"Concorde Hotel","100 Orchard Road, Singapore 238840",1.300525,103.8421646,"7am-6pm: $2.14 for 1st hr; $1.39 for sub. ½ hr","Aft 6pm: $3.75 per entry","Same as wkdays","$3.75 per entry","-"
"Concorde Hotel","100 Orchard Road, Singapore 238840",1.300525,103.8421646,"7am-6pm: $2.14 for 1st hr; $1.39 for sub. ½ hr","Aft 6pm: $3.75 per entry","Same as wkdays","$3.75 per entry","-"
"Delfi Orchard","402 Orchard Road Singapore, Singapore 238876",1.307238,103.828526,"8am-5pm: $3 for 1st hr; $1.93 for sub. ½ hr","5pm-11pm: $4.07 per entry (Car park closed at 11pm daily)","Same as wkdays","8am-11pm: $4.07 per entry","-"
"Elizabeth Hotel","24 Mount Elizabeth, Singapore 228518",1.3082343,103.8356792,"7am-5pm: $3 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $4 per entry","$4 per entry","Same as Saturday","-"
"Elizabeth Hotel","24 Mount Elizabeth, Singapore 228518",1.3082343,103.8356792,"7am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"Far East Plaza","14 Scotts Road, #06-00, Singapore 228213",1.3070808,103.8336459,"8am-5pm: $2.14 for 1st hr; $1.07 for sub. ½ hr.","Aft 5pm: $3.53 per entry.","Same as wkdays","$3.53 per entry.","-"
