"CarPark","Address","Location_Lat","Location_Lng","WeekDays_Rate_1","WeekDays_Rate_2","Saturday_Rate","Sunday_PublicHoliday_Rate","Lot_Avail_ID"
"Marina Bay Sands","10 Bayfront Avenue, Singapore 018956",1.2837856,103.8603761,"7am-7pm: $7 for 1st hr; $1 for sub.½ hr; (Capped at $26 every 24hrs)","Aft 7pm: $7 per entry","""Sat, Sun & Eve of PH: 7am-7pm: $8 for 1st hr; $1 for sub. ½ hr; Aft 7pm: $8 per entry""","Same as Saturday","-"
"Marina Mandarin Hotel","6 Raffles Boulevard, Marina Square, Singapore 039594",1.2918201,103.8571082,"Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square)","Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr for sub. ½ hr","Fri-Sun/PH: 7am-2am :$2.40 for 1st 2hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr for sub. ½ hr","Same as Saturday","-"
"Marina Mandarin Hotel","6 Raffles Boulevard, Marina Square, Singapore 039594",1.2918201,103.8571082,"Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square)","Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr","Fri/Sat-Sun/PH: 7am-2am :$2.40 for 1st 2 hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr","Same as Saturday","-"
"Marina Square","6 Raffles Boulevard, Singapore 039594",1.29107,103.857144,"Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr","Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr","Fri/Sat-Sun/PH: 7am-2am :$2.40 for 1st 2 hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr","Same as Saturday","-"
"Merchant Square","51 Merchant Rd, Singapore 058283",1.288815,103.843665,"8am-6pm: $2 for 1st ½ hr; $1 for sub. hr","Aft 6pm: $3 per entry","$3 per entry","$3 per entry","-"
"Millenia Singapore","7 Raffles Ave, Singapore 039799",1.2905269,103.8600616,"7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr","Aft 6pm: $2.20 per entry","$2.20 for 1st 2hrs; $1.10 for sub. hr","Same as Saturday","-"
"Millenia Walk (Basement Car Park)","9 Raffles Boulevard, Singapore 039596",1.2928037,103.8596699,"7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr","Aft 6pm: $2.20 per entry","$2.20 for 1st 2hrs; $1.10 for sub. hr","Same as Saturday","-"
"Neil Road Off-Street","Neil Rd, Singapore",1.2780837,103.8406133,"$1.00 per 30 mins (Per Minute Charging)","$0.50 per 30 mins (Per Minute Charging)","0700-1700:$1.00 per 30 mins; 1700-0700: $0.50 per 30 mins (Per Minute Charging)","$0.50 per 30 mins (Per Minute Charging)","-"
"North Bridge Centre","420 North Bridge Rd, Singapore 188727",1.2971401,103.8548649,"8am-5pm: $1.30 per ½ hr","5pm-11pm: $3 per entry","$3 per entry","$3 per entry","-"
"Novotel Clarke Quay","177A River Valley Road, Singapore 179031",1.2915233,103.8449891,"7am-5pm: $1.07 per hr","Aft 5pm: $3.21 per entry","7am-1pm: $1.07 per hr; Aft 1pm: $3.21 per entry","$3.21 per entry","-"
"Novotel Clarke Quay","177A River Valley Road, Singapore 179031",1.2915233,103.8449891,"7am-5pm: $1.07 per hr","Aft 5pm: $3.21 per entry","7am-1pm: $1.07 per hr; Aft 1pm: $3.21 per entry","$3.21 per entry","-"
"OCBC centre","65 Chulia Street, #01-00 OCBC Centre, Singapore 049513",1.2853395,103.8493499,"7am-6pm: $4 per hr","Aft 6pm: $3 per entry","$3 per entry","$3 per entry","-"
"One Fullerton","1 Fullerton Rd, Singapore 049213",1.28573,103.8539282,"7am-6pm: $2.50 per ½ hr","After 6pm: $5 per entry","$5 per entry","$5 per entry","-"
"One Fullerton","1 Fullerton Rd, Singapore 049213",1.28573,103.8539282,"7am-6pm: $2.50 per ½ hr","Aft 6pm: $5 per entry","$5 per entry","$5 per entry","-"
"One Raffles Quay","1 Raffles Quay, #08-01 One Raffles Quay (North Tower), Singapore 048583",1.281292,103.851701,"6am-6pm: $1.07 per 10mins","Aft 6pm: $3.21 for 1st 4hrs; $0.27 per sub. 10 mins","$3.21 for 1st 4hrs; $0.27 per sub. 10 mins","Same as Saturday","-"
"OUB Centre","1 Raffles Place, Singapore 048616",1.2844523,103.8510426,"7am-5pm : $2.62 per ½ hr","Aft 5pm: $3.21 per entry","Same as wkdays","Same as wkdays","-"
"OUE Bayfront (Formerly Overseas Union House)","50 Collyer Quay, #18-01/02 OUE Bayfront, Singapore 049321",1.2831593,103.8530435,"7am-5.59pm: $0.86 per 10mins block","Aft 6pm: $3.21 per entry","7am-2.59pm: $0.86 per 10mins block. 3pm-11.59am $3.21 per entry","$3.21 per entry","-"
"Parklane Shopping Mall","35 Selegie Road, Singapore 188307",1.3005433,103.8493917,"7am-7pm: $2.50 for 1st hr; $1.25 for sub. ½ hr","7pm-12am: $2.50 per entry. Aft 12am: $2.50 per entry","Same as wkdays","7am-12am: $3 per entry","-"
"PARKROYAL on Beach Road","7500A Beach Rd, The Plaza #01-345/346, Singapore 199591",1.299718,103.860563,"7am-5pm: Multi Storey Carpark - $2.50 for 1st hr; $1.50 for sub. ½ hr. Hotel Driveway - $6 for 1st hr; $2 for sub. ½ hr.","Aft 5pm: Multi Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.","Charges same as wkdays but $2.50 per entry (Multi-Storey Carpark) & $6 per entry (Hotel Driveway) after 1pm. ","Multi-Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.","-"
"PARKROYAL on Beach Road","7500A Beach Rd, The Plaza #01-345/346, Singapore 199591",1.299718,103.860563,"7am-5pm: Multi Storey Carpark - $2.50 for 1st hr; $1.50 for sub. ½ hr. Hotel Driveway - $6 for 1st hr; $2 for sub. ½ hr.","Aft 5pm: Multi Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.","Charges same as wkdays but $2.50 per entry (Multi-Storey Carpark) & $6 per entry (Hotel Driveway) after 1pm. ","Multi-Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.","-"
"Pearl's Centre","Singapore",1.2815458,103.8408772,"8.30am-5pm: $1.20 per ½ hr (max $22.90)","Aft 5pm: $2.50 per entry","Same as wkdays","$2.50 per entry","-"
"Peninsula Excelsior Hotel","5 Coleman Street, Singapore 179805",1.2919369,103.8497929,"8am-5pm: $2.60 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $4 per entry","Same as wkdays","8am-5pm: $1.50 per hr; Aft 5pm: $4 per entry","-"
"Peninsula Excelsior Hotel","5 Coleman Street, Singapore 179805",1.2919369,103.8497929,"8am-5pm: $2.60 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $4 per entry","Same as wkdays","8am-5pm: $1.50 per hr; Aft 5pm: $4 per entry","-"
"Peninsular Plaza","111 North Bridge Rd, Singapore 179098",1.2923056,103.8508325,"Season Parking Only","Season Parking Only","Season Parking Only","Season Parking Only","-"
"People's Park Centre","101 Upper Cross Street, #07-10B, Singapore 058357",1.285902,103.843985,"7am-5pm: $1.50 per ½ hr","Aft 5pm: $2.50 per entry","Same as wkdays","Same as wkdays","-"
"PoMo (Fomerly Paradiz Centre)","1 Selegie Rd, Singapore 188306",1.3001259,103.849316,"8am-5pm: $1.25 per ½ hr","Aft 5pm: $2.95 per entry","Same as wkdays","$2.95 per entry","-"
"PWC Building","8 Cross St, Singapore 048424",1.282204,103.8490957,"8am-6pm: $2.20 per ½ hr","Aft 6pm: $3 per entry","$3 per entry","Closed","-"
"Raffles City","252 North Bridge Rd, Singapore 179103",1.2940117,103.8533839,"8am-5.59pm: $2.20 for 1st hr; $0.55 for sub. 15mins","6pm-7.59am: $3 per entry","""$2.20 for 1st 2hrs, $0.40 for sub. 15mins for 3rd and 4th hr, $0.60 for sub. 15mins for 5th hr onwards.""","Same as Saturday","-"
"Raffles Hotel","1 Beach Rd, Singapore 189673",1.2948829,103.8544791,"12am-6pm: $3 for 1st ½ hr; $1.50 for sub. ½ hr","6pm-12am: $6 per entry","Same as wkdays","$6 per entry","-"
"Raffles Hotel","1 Beach Rd, Singapore 189673",1.2948829,103.8544791,"12am-6pm: $3 for 1st ½ hr; $1.50 for sub. ½ hr","6pm-12am: $6 per entry","Same as wkdays","$6 per entry","-"
"Republic Plaza","9 Raffles Place, Singapore 048619",1.2831805,103.8508729,"7am-5pm: $3 per ½ hr","Aft 5pm: $3 per entry","""Charges same as wkdays, but $3 per entry after 12pm""","$3 per entry","-"
"Resorts World Sentosa","8 Sentosa Gateway, Singapore 098269",1.255179,103.8218107,"Mon-Thu: 7am-7pm: $7 for 1st hr; $1 for sub. ½ hr or part thereof. (Max: $28 per 24 hrs)","Aft 7pm: $6 per entry","Fri/Sat-Sun/PH: 7am-7pm: $8 for 1st hr; $2 for sub. ½ hr or part thereof.  Aft 7pm: $8 per entry (Max: $28 per 24 hrs)","Same as Saturday","-"
"Robertson Walk","11 Unity St, Singapore 237995",1.2919747,103.8414577,"6am-6pm: $1.50 for 1st hr or part thereof; $0.50 for sub. ½ hr or part thereof.","Aft 6pm: $4 per entry","Same as wkdays","$4 per entry","-"
"Robinson 77 (Formerly SIA Building)","77 Robinson Rd, Singapore 068896",1.2777689,103.8483915,"7am-5pm: $2.4 per ½ hr","5pm-11pm: $2.4 per entry","""Charges same as wkdays, but $2.4 per entry after 2pm ""","$2.4 per entry","-"
"Robinson Centre","61 Robinson Rd, Singapore 068893",1.2792547,103.8492432,"8am-5pm: $2 per ½ hr","Aft 5pm: $3 per entry","""Charges same as wkdays, but $2 per entry after 1pm ""","Same as Saturday","-"
"""School of the Arts, Singapore (SOTA)""","1 Zubir Said Drive, Singapore 227968",1.2993871,103.8486967,"7.00am-5.59pm: $2.50 per hr","6pm-2am (the next day): $5 per entry. 2.01am-6.59am: $5 (additional flat fee for overnight parking)","7am-5.59pm: $2.50 per hr. 6pm-2am (the next day): $5 per entry. 2.01am-6.59am: $5 (additional flat fee for overnight parking)","Same as Saturday","-"
"SGX Centre","2 Shenton Way, Singapore 068804",1.2797533,103.8500756,"7am-5pm: $2.50 per ½ hr","5pm-10pm: $3 per entry (The car park closed at 10pm daily)","7am-10pm: $3 per entry","Same as Saturday","-"
"Shenton House","3 Shenton Way, Singapore 068805",1.2785988,103.8501183,"8am-5.30pm: $3 per ½ hr","Aft 5.30pm: $3 per entry","""Charges same as wkdays, but $3 per entry after 2pm ""","$3 per entry ","-"
"Sim Lim Square","1 Rochor Canal Rd, Singapore 188504",1.3030261,103.8529481,"3:30am-6pm: $0.05 per min","Aft 6pm: $2 per entry (1st hr Free parking from 6pm-10pm daily inclusive of PH)","Same as wkdays","Same as wkdays","-"
"Sim Lim Tower","10 Jln Besar, Singapore 208787",1.3037646,103.8547326,"8am-6pm: $1.50 per ½ hr","Aft 6pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Singapore General Hospital (Multi-Storey Carpark H)","Singapore",1.2790456,103.8376497,"7am-9.59pm: $0.018 per min/$1.08 per hr","10pm-6.59am: $2.14 per entry","Same as wkdays","$2.14 per entry","-"
"Singapore Land Tower","50 Raffles Place, Singapore Land Tower, Singapore 048623",1.2847487,103.8519923,"For Tenants only","-","-","-","-"
"Sunshine Plaza","91 Bencoolen St, Singapore 189652",1.3004116,103.8508038,"7am-6pm: $1.07 per ½ hr","Aft 6pm: $3.21 per entry","Same as wkdays","Same as wkdays","-"
"Suntec City","3E Temasek Blvd Singapore 038984 Temasek Blvd, Singapore 038984",1.2951272,103.8599418,"7am-5pm: $2.20 for 1st hr; $1.10 for sub. ½ hr (excluding PH)","5pm-12am:$2.20 per entry; Aft 12am:$1.10 per hr","$1.10 per hr","Same as Saturday","-"
"Swissotel Merchant Court Hotel","20 Merchant Rd, Singapore 058281",1.2885734,103.8454147,"Daily: $4.50 for 1st hr; $1.50 for sub. ½ hr","-","-","-","-"
"Swissotel Merchant Court Hotel","20 Merchant Rd, Singapore 058281",1.2885734,103.8454147,"Daily: $4.50 for 1st hr; $3 for sub. hr","-","-","-","-"
"Swissotel The Stamford Hotel","2 Stamford Rd, Singapore 178882",1.2933536,103.8535598,"8am-5pm: $2 for 1st hr; $0.50 for sub. 15mins (Car park at Raffles City Shopping Centre)","Aft 5pm: $2.50 per entry","$2 for 1st 2hrs; $0.30 for sub. 15mins","Same as Saturday","-"
"Tanjong Katong Complex","845 Geylang Rd, Singapore 400845",1.3163386,103.894331,"HDB coupon parking","HDB coupon parking","HDB coupon parking","HDB coupon parking","-"
"The Adelphi","1 Coleman St, Singapore 179803",1.2912431,103.851035,"6am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr","5pm-1am: $3.21 per entry","Same as wkdays","6am-1am: $3.21 per entry","-"
"The Concourse","300 Beach Rd, Singapore 199555",1.3010685,103.8626788,"7am-5pm: $2.14 for 1st hr; $1.07 for sub. ½ hr","Aft 5pm: $2.14 per entry","""Charges same as wkdays, but $1.07 per entry after 12pm ""","$1.07 per entry","-"
"The Esplanade","1 Esplanade Dr, Singapore 038981",1.2897934,103.8558166,"6am-6pm: $2 per hr ($1.50 per ½ hr at Waterfront car park daily) 12pm-2pm $2 per entry","6pm-10pm: $6 per entry; Aft 10pm: $2 per entry","6am-6pm: $2 per hr ($1.50 per ½ hr at Waterfront car park daily)","Same as Saturday","-"
"UE Square","81 Clemenceau Ave, Singapore 239917",1.2922525,103.842744,"8am-5pm: $2.00 for 1st hr; $1 for sub. hr","Aft 5pm: $3 per entry","8am-1pm: $2.00 for 1st hr; $1 for sub. hr; Aft 11pm: $3 per entry","$3 per entry","-"
"UOB Plaza","80 Raffles Avenue, Singapore",1.2854739,103.8501398,"7am-6pm: $2.50 per ½ hr","6pm-12am: $3.50 per entry. Aft 12am: $3.50 per entry","7am-12am: $3.50 per entry. Aft 12am $3.50 per entry","Same as Saturday","-"
"Vivocity","1 Harbourfront Walk, Singapore 098585",1.264241,103.822327,"7am-6pm: $1.20 for 1st hr; $0.60 for sub. ½ hr","6.01pm-4am: $3 per entry; Aft 4am: $2.50 per hr","7am-6pm: $1.40 for 1st hr; $0.70 for sub. ½ hr; 6.01pm-4am: $3.50 per entry; Aft 4am: $2.50 per hr","Same as Saturday","-"
"27 West Coast Highway","27 West Coast Hwy, Newport Beach, CA 92663, USA",33.6201885,-117.923533,"0000-0700: $0.75 / 30 mins (Capped at $4.28). 0700-2000: $0.75 / 30 mins (Capped at $4.28)","-","-","-","-"
"798 Upper Bukit Timah Road","798 Upper Bukit Timah Rd, Singapore 678138",1.3735059,103.763909,"0000-0700: $2.14 /30 mins. 0700-0000: $1.07 /30 mins.","-","-","-","-"
"798 Upper Bukit Timah Road","798 Upper Bukit Timah Rd, Singapore 678138",1.3735059,103.763909,"0000-0700: $2.14 /30 mins. 0700-0000: $1.07 /30 mins.","-","-","-","-"
"Alexandra Retail Centre","460 Alexandra Road, Singapore 119963",1.2739814,103.8014294,"7am to 6pm: $2/hr or part thereof.","6pm to 12mn: $2.40/entry; 12 mn to 7am: $2.40/hr or part thereof.","7am to 10am: $2/hr or part thereof; 10am to 12mn: $2.40/entry; 12 mn to 7am: $2.40/hr or part thereof.","7am to 12mn: $2.40/entry; 12 mn to 7am: $2.40/hr or part thereof.","-"
"Anchorpoint Shopping Centre","370 Alexandra Rd, Singapore 159953",1.2887273,103.80518,"8am-6.59pm: $1 for 1st ½ hr or part thereof; $2 for sub hr or part thereof.","7pm-7.59am: $2.50 per entry.","Same as wkdays","Same as wkdays","-"
"Bukit Panjang Plaza","1 Jelebu Road, Singapore 677743",1.3802472,103.7642886,"""12am to 6pm :$1.07 for 1st hr, $0.32/min for sub.min.""","6pm-12am: $2.14 per entry","""12am to 6pm :$2.14 for 1st 2 hr, $0.32 for sub 15mins""","Same as Saturday","-"
"Bukit Timah Plaza (Multi-Storey Car Park)","1 Jln Anak Bukit, Singapore 588996",1.3386026,103.7785977,"7.30am-5pm: $1.28 per hr","5pm-12am: $2.25 per entry. Aft 12am: $2.25 per entry","Same as wkdays","Same as wkdays","-"
"Bukit Timah Shopping Centre","170 Upper Bukit Timah Road, Singapore 588179",1.3431947,103.7759689,"8am-5pm: $1.25 per hr","Aft 5pm: $2.10 per entry","Same as wkdays","Same as wkdays","-"
"Coronation Shopping Plaza","587 Bukit Timah Road, #01-01 Coronation Shopping Plaza, Singapore 269707",1.323853,103.810004,"Daily(7.01am-7am): $2 per hr.","-","-","-","-"
"Holland Road Shopping Centre","211 Holland Ave, Singapore 278967",1.3103752,103.7955019,"12am-8.59pm: $1.55 per ½ hr","Aft 9pm: $3.25 per entry","Same as wkdays","Same as wkdays","-"
"IKEA (Alexandra)","317 Alexandra Rd, Singapore 159965",1.2880072,103.8060273,"""Daily :$0.05 per min, $1.50 per 30 Mins (subsequently charged on a per minute basis)""","-","-","-","-"
"IMM Building","2 Jurong East Street 21, Singapore 609601",1.3345194,103.7470092,"Free for 1st 2hrs for first entry only. Chargeable after 2nd hr of 1st entry @ $1.07 /hr; $0.30 for sub. 15 mins.","-","-","-","-"
"JCube","2 Jurong East Central 1, Singapore 609731",1.3332358,103.7402295,"3.30am-5.59pm: $1.30 for 1st hr; sub 15 mins or part thereof: $0.30. *Free 2 Hour Parking from 12 - 2pm daily (Monday - Friday) from now to 15 Oct 2015.","6pm-3.29am: $2.50 per entry","Same as wkdays","Same as wkdays","-"
"Junction 10","1 Woodlands Rd, Singapore 677899",1.380423,103.76009,"$1.25 for 1st hr; $0.65 for sub. hr","-","Same as wkdays","Same as wkdays","-"
"Jurong Point Shopping Centre","1 Jurong West Central 2, Singapore 648886",1.3394861,103.7065585,"7am-5pm: $1.07 for 1st 2hrs; $1.07 for sub. hr (Free parking from 12pm-2pm on Monday-Thursday)","5pm-9pm: $2.14 for 1st 2hrs; $1.07 for sub. hr; Aft 9pm: $1.07 for 1st 3hrs; $1.07 for sub. hr","$2.14 for 1st 2hrs; $1.07 for sub. hr; Aft 9pm: $1.07 for 1st 3hrs; $1.07 for sub. hr","Same as Saturday","-"
"Jurong Theatre","2 Jurong East Central 1, #04-11 JCube, Singapore 609731",1.3332858,103.7401865,"8am-8.59pm: $1.60 per hr","Aft 9pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Lot 1 Shopping Centre","21 Choa Chu Kang Avenue 4, Singapore 689812",1.3850848,103.7449427,"12am-5.59pm: $1.07 for 1st hr; $0.32 for sub. 15 mins.","""Mon-Thurs, 6pm-11.59pm: $2.14 per entry. Fri & Eve of PH, 6pm-2.59am: $2.14 per entry.""","3am-5.59pm: $2.14 for 1st 2-hrs; $0.32 for sub. 15 mins. 6pm-2.59am: $2.14 per entry.","3am-5.59pm: $2.14 for 1st 2-hrs; $0.32 for sub. 15 mins. 6pm-11.59am: $2.14 per entry.","-"
"NUH","5 Lower Kent Ridge Road, Singapore 119074",1.2951532,103.7833076,"Daily: $0.03 per min","-","-","-","-"
"Queensway Shopping Centre","Queensway Shopping Centre, Singapore",1.2874858,103.8032421,"8am-6pm: $2 for 1st 1½hr; $1.20 for sub. ½ hr","Aft 6pm: $2.30 per entry","8am-6pm: $1.50 for 1st 1hr; $1.20 for sub. ½ hr; Aft 6pm: $2.30 per entry","Same as wkdays","-"
"Savoy Theatre","Savoy Court, Strand, London WC2R 0ET, UK",51.510098,-0.1207622,"8am-5pm: $1.20 per hr","Aft 5pm: $3.00 per entry","Same as wkdays","$3.00 per entry","-"
"Serene Centre","10 Jalan Serene, Singapore 258748",1.3226018,103.8136977,"8am-10pm: $1.53 for 1st hr; $1.53 for sub. ½ hr","Aft 10pm: $1.53 per entry","Same as wkdays","Same as wkdays","-"
"Sunshine Place","475 Choa Chu Kang Avenue 3, Singapore 680475",1.3782777,103.7390269,"HDB coupon parking","HDB coupon parking","HDB coupon parking","HDB coupon parking","-"
"The Clementi Mall","3155 Commonwealth Ave W, The Clementi Mall, Singapore 129588",1.3148573,103.7642179,"Daily: $1.50 for 1st hr; $0.80 for sub. ½ hr","-","-","-","-"
"The Metropolis","9 N Buona Vista Dr, The Metropolis, Singapore 138588",1.306171,103.7915501,"""6am-6pm: $2.50 for 1st hr, sub $1.25 per 1/2 hr""","Time period 1: 6pm-12am: $2.50 per entry; Time period 2: 12am-6am: $2.50 per entry","6am - 6pm: $1.00 per hour or part thereof; Aft 6pm same as wkdays","6am - 6pm: $1.00 per hour or part thereof; Aft 6pm same as wkdays","-"
"The Star Vista","1 Vista Exchange Green, Singapore 138617",1.3067634,103.7884236,"""12am-11.59pm:$1.30 for 1st hr, $0.65 for sub. 30 mins or part thereof.""","""$1.30 for 1st hr, $0.65 for sub. 30 mins or part thereof.""","Sat & PH: Same as wkdays","""Sun:12am-11.59pm: $2.14 for 1st hr, $1.07 for sub. 30 mins or part thereof.""","-"
"Tiong Bahru Plaza","302 Tiong Bahru Rd, 110, Singapore 168732",1.2863149,103.8274034,"$1.50 for 1st hr; $0.80 for sub. ½ hr","$1.50 for 1st hr; $0.80 for sub. ½ hr","Same as wkdays","7am-6pm:$1.50 per hr; Aft 6pm: $3.60 per entry","-"
"Turf City","200 Turf Club Rd, Singapore 287994",1.3378923,103.7933377,"Daily: Free parking","-","-","-","-"
"Valley Point","491 River Valley Rd, Singapore 248371",1.2929613,103.8270554,"Daily: $1.50 for 1st hr; $0.80 for sub. ½ hr","-","-","-","-"
"West Coast Plaza (Ginza Plaza)","154 West Coast Rd, Singapore 127371",1.303644,103.765892,"$1.25 for 1st hr; $1.00 for sub. ½ hr","$1.25 for 1st hr; $1.00 for sub. ½ hr","$1.50 for 1st hr; $1.00 for sub. ½ hr","Same as Saturday","-"
"West Mall","1 Bukit Batok Central Link, Singapore 658713",1.3501199,103.7492141,"6am-5pm : $1.10 for 1st 2hrs or part thereof; $0.60 for sub. ½ hr or part thereof.","5pm-6am: $2.50 per entry.","6am-5pm: $1.10 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof; 5pm-6am: $2.50 per entry.","6am-6am next day: $2.50 per entry.","-"
"Westgate","3 Gateway Dr, Singapore 608532",1.3345193,103.7427929,"Daily: $1.30 for 1st hr; $0.50 for sub. 15 mins","6pm - 11.59pm: $2.50 per entry","Same as wkdays","Same as wkdays","-"
"Yew Tee Point","21 Choa Chu Kang North 6, Singapore 689578",1.3970193,103.7467952,"Daily: $1.18 for 1st hr; $0.64 for sub. ½ hr or part thereof.","-","-","-","-"